video_url,description,class
https://www.tiktok.com/@coeliacmamlife/video/7642763078676876566,"Love, love, love this cleanser! Texture is smooth, not scented and I’ve personally noticed a change in my skin since using this cleanser #ceravecleanser #ceraeve #fyp #coeliacmamlife #tiktokmadebuythis",pos
https://www.tiktok.com/@akwaugoj/video/7563696105540619541,"Skincare Review PT.1: Cerave Foaming Cleanser. This cleanser works well for normal to oily skin. Since I now have a oily-combination skin, my skin loves it. @CeraVe  #cerave #ceravefoamingcleanser #cleanserreview #ceravecleanser  Have you used this cleanser before? Let me know your thoughts…",pos
https://www.tiktok.com/@oliviarhyin/video/7537456648680525086,My favorite face wash 🫧#facewash #skincareroutine #skincare #creatorsearchinsights  #cerave #fyp @CeraVe,pos
https://www.tiktok.com/@garbo.zhu/video/7628263557305568520,"cleanse smart, not harder with @CeraVe #cerasquad2026 #ceravepartner",pos
https://www.tiktok.com/@shiv_sewlal/video/7577652722321689874,"I loveee @CeraVe ‘s Hydrating Cleanser😍 it’s perfect if you have dry, sensitive skin like me. Find your Cleanser Match now❤️  #ceraveza, #cleanselikeaderm, @ceravecleansermatch, @cerave_africa",pos
https://www.tiktok.com/@rinavibez/video/7529589177394924823,"Dry, tight skin? I started using the CeraVe Hydrating Cleanser and it’s been a game-changer for calming my face down, especially after removing makeup or during my PMDD flare-ups. It’s gentle, fragrance-free, and packed with ceramides + hyaluronic acid to support your skin barrier and lock in moisture. No tightness. No stinging. Just clean, hydrated skin that feels soft AF. Tagging @ceraveuki  because… y’all snapped with this one 👏🏽 💬 Tried this? Drop your skin type below 👇🏽 #LorealistarUK #LorealistarHydratingCleanser #CeraVe #SkinBarrierRepair #HydrationBoost #DrySkinFix #CeraVeCleanser #SkincareTikTok #FaceCleanserReview #rinavibez",pos
https://www.tiktok.com/@shamjhana.rijal/video/7652769563142032662,My Favorite CeraVe Hydrating Cream-to-Foam Cleanser Review@CeraVeUKI #tiktokmademebuylt #summersale #cerave #cleanser #skincare,pos
https://www.tiktok.com/@namhlancamani/video/7574837332616940818,"Back with Part 2 of my #MySkinMyDrama journey 💧 It’s been 3 weeks using @CeraVe Skin Care , and I’m already seeing progress! From cleansing to hydration, my skin is slowly finding its glow. Stay tuned for Part 3 where I’ll share my full honest review 💙#MySkinMyDrama #CeraVeSouthAfrica #CeraVeZA #SkincareJourney",pos
https://www.tiktok.com/@livinglavidashop/video/7654306321025551647,I thought this cleanser was overhyped... until I tried it 👀✨ The CeraVe SA Cleanser might be the reason my skin feels smoother and less bumpy. Have you tried it yet? #cerave #ceravesacleanser #skincare #skincareroutine #beauty,pos
https://www.tiktok.com/@sunehri.store/video/7566225449710308628,"Acne aur pimples se tang ho? 😩 Ab pao CeraVe Blemish Control Cleanser — dermatologist tested formula! 🌸 Ye gently kare deep cleansing, oil control & blemish reduction 💫#creatorsearchinsights  #CeraVePakistan #BlemishControl #ClearSkin #AcneCare",pos
https://www.tiktok.com/@nipunkapur/video/7597807001724259602,"CeraVe Foaming Cleanser vs Bioderma Sensibio Gel Moussant: Which one is right for you? 🤔🫧 Both are “gentle” gels, but they serve two very different skin types. Here is why CeraVe Foaming Cleanser is the superior choice for oily and combination skin: ✨ Why it works: 1️⃣ Removes excess sebum & sunscreen without stripping. 2️⃣ Niacinamide helps calm inflammation & regulate oil. 3️⃣ Ceramides (1, 3, 6-II) protect your skin barrier while you cleanse.   If you struggle with congestion but hate that ""squeaky tight"" feeling, this is your match. ✅ Which team are you? Team CeraVe or Team Bioderma? 👇 #ceravevsbioderma #ceravefoamingcleanser #biodermasensibio #oilyskincare #skincareroutine @cerave @bioderma",pos
https://www.tiktok.com/@mariapamelaperez/video/7651796517736533262,My Monday morning routine! @influenster  @CeraVe  #hidratation  #skincare,pos
https://www.tiktok.com/@lukeeeskin/video/7516638617343642902,I’ve been testing the @CeraVe Balancing Air Foam Cleanser for about a week and here are my honest thoughts!👀 #gifted #notsponsored #skincare #cerave #review #skincarereview,pos
https://www.tiktok.com/@nmanisub/video/7654087418584321310,#ceravecleanser #loveyourskinagain #skincare #usa_tiktok #❤️❤️goviral @heyyitsanoo @Binu Basnet @Kamala Pokharel @Sonam Subedi @Kreeshma Sapkota @Bishnubohara4321 @lakshmirizal88 @Binita Chhetri🇳🇵🇺🇸,pos
https://www.tiktok.com/@egyptianskincaregirl/video/7437961547084729607,This one will definitely ruffle some feathers 😂 #skincare #skincareroutine #skincaretips #skincare101 #skincaretiktok #acneproneskin #skinimalism #howtoclearyourskin #skincarefornewbies #unitedstates #10stepskincare #sunscreen #drugstore #skincaredrugstore,neg
https://www.tiktok.com/@natalie_oneillll/video/7324377521313582368,"I’ve said goodbye to ever working with Cerave many times, what’s another one? These are 4 acne products that I personally think often make acne a lot worse. Sometimes the product is poor, other times its the way it’s used incorrectly (usually shown on social media this way). This is a video for the edge cases, I’m sure many people also love these #worstskincareproducts #worstskincareadvice #badskincarehabits #overratedskincare #viralskincare #skincaresmashorpass",neg
https://www.tiktok.com/@user2767845063268/video/7536126293537049887,#news #foryou #breakingnews #tiktok #fyp #usaus,neg
https://www.tiktok.com/@exploringholistically/video/7490663346824465710,Sunscreen safe for demodex mites… This has gotta be the worst sunscreen I’ve ever tried @CeraVe It did not rub in at all….. Any rosacea friendly / demodex mite friendly sunscreen recommendations? (Non toxic if possible💕),neg
https://www.tiktok.com/@dailyglamwithshahad/video/7625022403818704158,I had high hopes for this …but it did NOTHING for my skin 😭what toner do you recommend?? #fyp #skincare #honestreview,neg
https://www.tiktok.com/@angelocaa/video/7496275336754121990,NO SE CREAN TODO LO QUE RECOMIENDAN EN REDES ES VERDAD!!! @CeraVe 🚫🆘 #skincare #bogota #skincaretips #tipsdebelleza,neg
https://www.tiktok.com/@julianyouhana/video/7652883515675004190,"CeraVe is being sued for a cancer causing chemical in their products. App in video @Scout  They are the most recommended skincare brand in America, They are now facing 6 federal lawsuits for a carcinogen forming inside these products. The products: Acne Foaming Cream Cleanser and Acne Foaming Cream Wash. The ingredient: benzoyl peroxide. Benzoyl peroxide is unstable. The moment it gets warm, your bathroom after a shower, your car on a summer day, a warehouse during shipping, even at human body temperature, it breaks down into benzene. Benzene is a Group 1 human carcinogen, meaning it causes cancer in humans. There is no safe level of benzene exposure. Yale University researchers lab tested CeraVe's cleansers: CeraVe tested at 5 to 12ppm of benzene. The FDA's limit: 2 ppm. Up to 6x the federal threshold. No recall. No label warning. Still on shelves. #health",neg
https://www.tiktok.com/@illilx_/video/7589732185758879007,Follow for more #santacruz #santacruzmedicinals #fyp #skincare #cerave,neg
https://www.tiktok.com/@theegeminiglow/video/7646814648318070030,Omg 😬 #cerave #cancer #toxic #ceraveskincare #foryoupage,neg
https://www.tiktok.com/@thementorg1/video/7631321178551897357,"Is CeraVe ruining your skin? 🧴👎 Most men are blindly using this product without understanding what it’s actually doing to their face. In this video, I break down why it might be time to leave CeraVe behind — and what to use instead if you want real results.Whether you’re struggling with dry skin, breakouts, or dull texture — this is your wake-up call. Tap in and upgrade your skincare routine.📍For more self-care, skincare, and cologne game for men, follow thementorg. #SkincareForMen #CeraVe #MenSkinCare #StopUsingThis #GroomingTips #SelfCareForMen #TheMentorG #FaceCare #MensRoutine #MenGlowUp #ClearSkinJourney #SkincareTruth #SkincareMistakes #HealthySkinTips #MensLifestyle #FragranceAndFace",neg
https://www.tiktok.com/@sarah.lauraine/video/7559327356251327775,"Replying to @Maddie Vosssss  Just because it is dermatologist trusted doesn’t mean it is toxin-free! If you are looking for cleaner options, I would recommend reading the ingredients before purchasing  #cleanswaps #lowtoxiclifestyle #nontoxicbeauty #lowtoxicskincare #cleanskincareproducts @Acure @cocokind @Good Molecules @Mad Hippie @Beauty By Earth @Hero US",neg
https://www.tiktok.com/@princess.zeenah/video/7491022310393138437,"I was really so disappointed, like this is the cerave hype 😭😭 . . . . #cerave #skincare #skincarereview #fyp #skincarerant",neg
https://www.tiktok.com/@lawsuitguru/video/7646410261632404766,CeraVe was linked to cancer. Here’s what to know…  #classaction #lawsuit #cerave #cancer #healthcare,neg
https://www.tiktok.com/@prince_kkyy/video/7559045491355389214,RETURNED THAT LOTION REAL QUICK TODAY! 🤢🤢🤢🤢 #cerave #skincare,neg
https://www.tiktok.com/@lauralou71/video/6995979118953155845,NO! WHY! #ceraveskincare #ceravepmlotion ##newformula #whydotheydothat #matureskincare #skincaretips #notgood😭,neg
https://www.tiktok.com/@stella_vitality/video/7647162972581776654,Comment “YES” if you didn’t know!⚠️🧴 #health #holistichealth #usa #remedy #cerave,neg
https://www.tiktok.com/@annikaaleonaa/video/7448377587660754207,Replying to @kylee #greenscreen #acneproneskin #beforeandafter,neutral
https://www.tiktok.com/@lisamarieunfiltered/video/7488011880573701398,My 2 week update using the cerave retinol serum. I feel like my skin is getting more even and definetly more hydrated!  #RealSkin #UnfilteredJourney #CeraVeRetinol #CeraVeSkincare #SkincareTikTok #TikTokSkincare,pos
https://www.tiktok.com/@lbunch528/video/7633184822638185741,@CeraVe 10% Acne Foaming Cream Cleanser will never leave my skincare routine 🩷 #adultacne #acne #skincareroutine #ceravepartner #relatable,neutral
https://www.tiktok.com/@nurigallow/video/7600710847035428103,I’ve been testing out the CeraVe blemish control for a few weeks and here are the results so far ✨ @CeraVe  #ceraveza #cereveroblox #ceraveblemishcontrol,neutral
https://www.tiktok.com/@theblushingdoc/video/7411928718798507297,"#AD Retinol can help the little marks that are left after blemishes! I apply @CeraVe Resurfacing Retinol Serum at night to dry skin. With niacinamide & 3 essential ceramides, it exfoliates, evens out skin tone & supports skin barrier #skincare",neutral
https://www.tiktok.com/@andrea.montxs/video/7644308968713522452,Probé el Serum de Vitamina C de @CeraVe por 5 días☀️ y estos fueron los resultados… ¿que opinan? #skincare #VitaminaC #ApagaLasManchas #EnciendeTuGlow #CeraveMx,neutral
https://www.tiktok.com/@dr_narnah/video/7627603525152918806,AD | CeraVe delivered another good sunscreen and this is my first impression. I’m here for it. @CeraVeUKI @hometesterclubuk  #CeraVe #hometesterclubuk #sunscreen #spf50 #skincare,neutral
https://www.tiktok.com/@stylefixbyjenny/video/7619770174522051862,"If your skin has been feeling dry, tight or just off, this is your sign to start using Cerave Moisturising Cream.✨🤩 @CeraVeUKI  #cerave #ceravemoisturizingcream #ceravemoisturiser #cerawards #Skincare",neutral
https://www.tiktok.com/@fragileskinariana/video/7124957171103698218,Honestly… I was not expecting this outcome 🤯 @CeraVe #cerave #skincareroutine #disabledcreator #BigInkEnergy #skinpositivity,neutral
https://www.tiktok.com/@the.leah.way/video/7595256149054688534,#skincare #over40sskincare #tiktokmademebuyit #cerave #peptide @CeraVeUKI,neutral
https://www.tiktok.com/@nemehjoseph/video/7597357899190504712,@CeraVe Arabia  #ceravearabia,neutral
