video_url,description,class
https://www.tiktok.com/@nealkshah/video/7647985851804192013,"A chemical linked to leukemia has been found in a skincare product CeraVe that's sitting in millions of bathrooms right now. An independent laboratory found benzene, a chemical directly linked to leukemia and blood cancers, in popular acne products at levels reportedly more than 100 times the federal safety limit. Six class action lawsuits were filed almost immediately against the parent company behind some of the most trusted skincare brands in America. The FDA ran their own tests in 2025 and pulled six specific products from shelves. The lawsuits are still active and no verdict has been reached. But here is what nobody is highlighting. The breakdown of this ingredient into a known carcinogen has not been disputed by anyone. Not the FDA. Not the companies being sued. The only argument is about how much and under what conditions. The American Cancer Society states there is no safe level of benzene exposure. If you are caring for someone elderly, immunocompromised, or a child, check your bathroom cabinet today. Cross reference any acne products containing benzoyl peroxide against the current FDA recall list before using them again. Caution costs you nothing.",neg
https://www.tiktok.com/@dailyglamwithshahad/video/7625022403818704158,I had high hopes for this …but it did NOTHING for my skin 😭what toner do you recommend?? #fyp #skincare #honestreview,neg
https://www.tiktok.com/@user2767845063268/video/7536126293537049887,#news #foryou #breakingnews #tiktok #fyp #usaus,neg
https://www.tiktok.com/@natalie_oneillll/video/7472781932615601410,I also rate the whole cerave range in an earlier video ✨ smash or pass Cerave cleansers bc they get so much hype #cerave #affordableskincare #skincareproduct #acneproneskin,neg
https://www.tiktok.com/@parisglow4/video/7649394647239888135,#ceraveskincare,neg
https://www.tiktok.com/@julianyouhana/video/7652883515675004190,"CeraVe is being sued for a cancer causing chemical in their products. App in video @Scout  They are the most recommended skincare brand in America, They are now facing 6 federal lawsuits for a carcinogen forming inside these products. The products: Acne Foaming Cream Cleanser and Acne Foaming Cream Wash. The ingredient: benzoyl peroxide. Benzoyl peroxide is unstable. The moment it gets warm, your bathroom after a shower, your car on a summer day, a warehouse during shipping, even at human body temperature, it breaks down into benzene. Benzene is a Group 1 human carcinogen, meaning it causes cancer in humans. There is no safe level of benzene exposure. Yale University researchers lab tested CeraVe's cleansers: CeraVe tested at 5 to 12ppm of benzene. The FDA's limit: 2 ppm. Up to 6x the federal threshold. No recall. No label warning. Still on shelves. #health",neg
https://www.tiktok.com/@exploringholistically/video/7490663346824465710,Sunscreen safe for demodex mites… This has gotta be the worst sunscreen I’ve ever tried @CeraVe It did not rub in at all….. Any rosacea friendly / demodex mite friendly sunscreen recommendations? (Non toxic if possible💕),neg
https://www.tiktok.com/@illilx_/video/7589732185758879007,Follow for more #santacruz #santacruzmedicinals #fyp #skincare #cerave,neg
https://www.tiktok.com/@natalie_oneillll/video/7324377521313582368,"I’ve said goodbye to ever working with Cerave many times, what’s another one? These are 4 acne products that I personally think often make acne a lot worse. Sometimes the product is poor, other times its the way it’s used incorrectly (usually shown on social media this way). This is a video for the edge cases, I’m sure many people also love these #worstskincareproducts #worstskincareadvice #badskincarehabits #overratedskincare #viralskincare #skincaresmashorpass",neg
https://www.tiktok.com/@thementorg1/video/7631321178551897357,"Is CeraVe ruining your skin? 🧴👎 Most men are blindly using this product without understanding what it’s actually doing to their face. In this video, I break down why it might be time to leave CeraVe behind — and what to use instead if you want real results.Whether you’re struggling with dry skin, breakouts, or dull texture — this is your wake-up call. Tap in and upgrade your skincare routine.📍For more self-care, skincare, and cologne game for men, follow thementorg. #SkincareForMen #CeraVe #MenSkinCare #StopUsingThis #GroomingTips #SelfCareForMen #TheMentorG #FaceCare #MensRoutine #MenGlowUp #ClearSkinJourney #SkincareTruth #SkincareMistakes #HealthySkinTips #MensLifestyle #FragranceAndFace",neg
