video_url,description,class
https://www.tiktok.com/@thesknguru/video/7567388666348178710,Replying to @Jacqueline | SKINCARE❤️✨ Here’s my first impressions using the CeraVe products in my skincare routine.   #CeraVeReview #SkinBarrierCare #HydratingSkincare @CeraVe UKI,neutral
https://www.tiktok.com/@akwaugoj/video/7563696105540619541,"Skincare Review PT.1: Cerave Foaming Cleanser. This cleanser works well for normal to oily skin. Since I now have a oily-combination skin, my skin loves it. @CeraVe  #cerave #ceravefoamingcleanser #cleanserreview #ceravecleanser  Have you used this cleanser before? Let me know your thoughts…",neutral
https://www.tiktok.com/@chandre.campher/video/7581455789471124744,This is not sponsored in any way just my first impression of cerave @CeraVe Skin Care  #ceraveskincare  #cerave  #cheapskincareproducts  #under200rand,neutral
https://www.tiktok.com/@maielsamedy/video/7640181998950157588,Cerave SA smoothing cleanser honest Review 📌#salisylicacid #facecleanser #cleanser #ceraveskincare #cerave,neutral
https://www.tiktok.com/@lozzamooo/video/7604600800685427990,My first time using CeraVe! Here’s my honest review of their moisturising cream💙🤍 @Home Tester Club @CeraVeUKI  AD #CeraVe #Skincidents #MoisturizelikeADerm,neutral
https://www.tiktok.com/@dashofdaysh/video/7527136433123986718,"Replying to @thekearalifestyle  Tried the CeraVe PM Moisturizer for the first time and sis  was right — this one’s a keeper! 🧴✨ It’s super lightweight but packs a punch when it comes to hydration. My skin felt calm, refreshed, and moisturized without that heavy feeling. Definitely night routine approved! 🌙 Lightweight but ultra-moisturizing 💧 Perfect for sensitive or acne-prone skin ✨ First impression: 10/10 @CeraVe  #DashofDaysh #dealsforyoudays #TikTokShopCreatorPicks #ceravepm #hydratedskin #nighttimeskincare #skincareroutine",neutral
https://www.tiktok.com/@tamunoabbey/video/7610869046971567382,CeraVe Invisible Dry Touch Fluid Sunscreen SPF 50+ Review - No white cast  - Leaves a skin-like finish   #cerave #sunscreen #spf,neutral
https://www.tiktok.com/@tinsley1414/video/7531852601298652429,"First Impressions! 💙 - Trying the @CeraVe AM Facial Moisturizing Lotion SPF 50 (PR)! A hybrid sunscreen with broad spectrum SPF 50. Formulated with Ceramides, Niacinamide, and Hyaluronic Acid. It leaves a bit of a white cast due to the zinc oxide. Don’t love that. The texture is nice and the finish would appeal to a lot of people but the white cast isn’t great unless you're using makeup over top of it. A decent option but not my favorite.  - #cerave #ceraveskincare #spf #firstimpression",neutral
https://www.tiktok.com/@katykat_tok/video/7649184201761246494,"👉When I saw CeraVe dropped a tinted moisturizing sunscreen, I couldn’t wait to try it. 💙 After my first application, I loved how lightweight it felt and the natural-looking finish it gave my skin. Gifted by CeraVe. Check the link if you want to learn more! #CeraVePartner #DealsForYouDays #TintedSunscreen #MineralSunscreen #SkincareRoutine @CeraVe",neutral
https://www.tiktok.com/@georgiesneade/video/7635998413573639446,"@CeraVe Resurfacing Retinol Serum just 2 weeks using it and I'm super happy with the results! CHAT GPT has told me I've got Post Inflammatory Erythema (PIE) from a really bad few months of acne on my cheeks that came out of no where!  Now it's finally calmed down (also from some amazing advice from CHAT GPT I might add) it was time to help the PIE fade, I tried Azeliac Acid which did nothing but I bought this 2 weeks ago and I can definitely see they look lighter, still a long way to go but I had to share this!! 😍😍  #skincare #cerave #beauty #productreview",neutral
